"Language","Run1","Run2","Run3","Run4","Run5","Run6","Run7","Run8","Run9","Run10"
"Go","2138","2113","2130","2142","2127","2135","2115","2118","2124","2137"
"Java","2035","2034","1021","2047","1034","1036","1035","2041","1039","2048"
"C","2042","2049","2039","2057","2057","2041","1036","1033","2044","2047"
"C++","2042","1039","2040","2040","2048","1039","2045","2037","1035","1022"
"Python","1034","1050","1047","1033","2050","1037","2079","2040","2045","1041"
"Ruby","2040","2056","2048","2026","2051","1025","2051","2030","1032","1044"
"JavaScript","2040","2042","1036","1041","1034","1035","2046","1048","1029","1041"
"PHP","1030","1048","1044","1034","1032","1039","1041","1045","1038","1037"
"Perl","1035","1033","1031","1019","1032","1021","1034","1041","1032","1038"
"Shell","8104","6042","5057","8106","5068","6075","5069","5087","5046","5057"
